Date,vader_score,CP
2011-04-12,0.34,1314.16
2011-04-13,0.31845,1314.41
2011-04-14,0.4358,1314.52
2011-04-15,0.07750000000000001,1319.68
2011-04-18,0.0,1305.14
2011-04-19,0.0,1312.62
2011-04-20,0.37895,1330.36
2011-04-21,-0.029233333333333344,1337.38
2011-04-25,-0.4215,1335.25
2011-04-26,0.10115,1347.24
2011-04-27,0.0,1355.66
2011-04-28,0.0,1360.48
2011-04-29,0.099325,1363.61
2011-05-02,0.159225,1361.22
2011-05-03,0.21230000000000002,1356.62
2011-05-05,0.0,1335.1
2011-05-06,0.19063333333333332,1340.2
2011-05-09,0.0,1346.29
2011-05-10,0.0,1357.16
2011-05-11,0.0,1342.08
2011-05-12,0.0,1348.65
2011-05-13,-0.292825,1337.77
2011-05-16,-0.34,1329.47
2011-05-17,0.4404,1328.98
2011-05-18,0.29575,1340.68
2011-05-20,0.1147,1333.27
2011-05-23,-0.152025,1317.37
2011-05-25,0.0,1320.47
2011-05-26,-0.296,1325.69
2011-05-27,0.15926666666666667,1331.1
2011-06-01,0.05875000000000001,1314.55
2011-06-02,-0.030200000000000005,1312.94
2011-06-03,0.0,1300.16
2011-06-07,0.1408333333333333,1284.94
2011-06-08,0.1909,1279.56
2011-06-09,0.0,1289.0
2011-06-10,-0.31245,1270.98
2011-06-13,0.0,1271.83
2011-06-14,0.0,1287.87
2011-06-15,0.0,1265.42
2011-06-16,0.0,1267.64
2011-06-20,0.4136,1278.36
2011-06-21,0.21075,1295.52
2011-06-22,0.0,1287.14
2011-06-23,0.148,1283.5
2011-06-24,-0.010080000000000002,1268.45
2011-06-27,0.0,1280.1
2011-06-29,0.03924,1307.41
2011-06-30,-0.022974999999999995,1320.64
2011-07-01,-0.3275,1339.67
2011-07-05,0.0,1337.88
2011-07-07,0.0,1353.22
2011-07-08,0.1661,1343.8
2011-07-12,0.0,1313.64
2011-07-13,0.0,1317.72
2011-07-14,0.0,1308.87
2011-07-15,0.21230000000000002,1316.14
2011-07-18,0.04844999999999999,1305.44
2011-07-19,-0.17556666666666665,1326.73
2011-07-20,0.0,1325.84
2011-07-21,0.0,1343.8
2011-07-22,0.0,1345.02
2011-07-25,0.1591,1337.43
2011-07-26,0.0,1331.94
2011-07-27,-0.60655,1304.89
2011-07-28,-0.5423,1300.67
2011-07-29,0.1147,1292.28
2011-08-01,0.0,1286.94
2011-08-02,-0.26720000000000005,1254.05
2011-08-03,0.0,1260.34
2011-08-04,-0.23026666666666665,1200.07
2011-08-05,-0.5232,1199.38
2011-08-08,-0.11576666666666668,1119.46
2011-08-09,0.038474999999999995,1172.53
2011-08-10,0.0,1120.76
2011-08-11,-0.023424999999999994,1172.64
2011-08-12,-0.1591,1178.81
2011-08-15,-0.8126,1204.49
2011-08-16,0.4404,1192.76
2011-08-17,-0.1909,1193.89
2011-08-18,-0.3509333333333333,1140.65
2011-08-22,-0.12726666666666667,1123.82
2011-08-23,0.0,1162.35
2011-08-24,0.0,1177.6
2011-08-25,0.0,1159.27
2011-08-26,0.020925,1176.8
2011-08-29,0.3818,1210.08
2011-08-30,-0.31683333333333336,1212.92
2011-08-31,0.0,1218.89
2011-09-01,-0.23835,1204.42
2011-09-02,0.0,1173.97
2011-09-06,0.0,1165.24
2011-09-07,0.005566666666666682,1198.62
2011-09-08,0.0,1185.9
2011-09-09,-0.1591,1154.23
2011-09-12,0.19997499999999999,1162.27
2011-09-13,0.08993333333333332,1172.87
2011-09-14,0.04832499999999999,1188.68
2011-09-15,-0.09106666666666667,1209.11
2011-09-16,0.37693333333333334,1216.01
2011-09-19,0.0,1204.09
2011-09-21,-0.2997,1166.76
2011-09-22,0.02066,1129.56
2011-09-23,0.22394999999999998,1136.43
2011-09-26,-0.26353333333333334,1162.95
2011-09-27,-0.3275666666666667,1175.38
2011-09-28,-0.43006666666666665,1151.06
2011-09-29,0.1738666666666667,1160.4
2011-09-30,0.24725999999999998,1131.42
2011-10-03,0.12223999999999999,1099.23
2011-10-04,-0.27925,1123.95
2011-10-05,-0.18185,1144.03
2011-10-06,0.0,1164.97
2011-10-07,-0.1806,1155.46
2011-10-10,-0.1796,1194.89
2011-10-11,-0.03172000000000001,1195.54
2011-10-12,-0.64535,1207.25
2011-10-13,0.04113333333333332,1203.66
2011-10-14,0.18862,1224.58
2011-10-17,0.2732,1200.86
2011-10-18,-0.25756666666666667,1225.38
2011-10-19,-0.0593,1209.88
2011-10-20,0.06256666666666667,1215.39
2011-10-21,0.19063333333333332,1238.25
2011-10-24,0.22036666666666668,1254.19
2011-10-25,-0.3182,1229.05
